"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Bild 1 // Mehr dazu",2025-12-07,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,3156,3613,,-,-,-,43.64,,12.07860504,1.14480355,2025-12-07,2025-12-07
"Carousel 1 // Mehr dazu",2025-11-18,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",13,1422,1917,3.16615385,-,-,-,41.16,0.67814293,21.47104851,1.34810127,2025-11-18,2025-11-18
"Bild 1 // Mehr dazu",2025-12-14,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,3495,3733,,-,-,-,39.77,,10.65362979,1.06809728,2025-12-14,2025-12-14
"Bild 1 // Mehr dazu",2025-12-21,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view","Leads (form)",4,3947,4522,9.84,-,-,-,39.36,0.08845644,8.70411322,1.14568026,2025-12-21,2025-12-21
"Bild 1 // Mehr dazu",2025-11-30,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view",,,1969,2161,,-,-,-,39,,18.04720037,1.09751143,2025-11-30,2025-11-30
"Bild 1 // Mehr dazu",2025-12-15,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view","Leads (form)",1,3123,3615,36.78,-,-,-,36.78,0.02766252,10.17427386,1.15754083,2025-12-15,2025-12-15
"Bild 1 // Mehr dazu",2025-12-08,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view","Leads (form)",3,3462,3853,12.01666667,-,-,-,36.05,0.07786141,9.3563457,1.1129405,2025-12-08,2025-12-08
"Bild 1 // Mehr dazu",2025-12-17,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view","Leads (form)",1,2398,2670,35.82,-,-,-,35.82,0.03745318,13.41573034,1.11342786,2025-12-17,2025-12-17
"Bild 1 // Mehr dazu",2025-12-16,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view","Leads (form)",1,2984,3407,34.62,-,-,-,34.62,0.02935134,10.16143235,1.14175603,2025-12-16,2025-12-16
"Bild 1 // Mehr dazu",2025-11-29,not_delivering,ad,"Andresen & Co. Immobilien // Norder Wung // Voroptimierte Leads // Adv +","7-day click or 1-day view","Leads (form)",3,1398,1574,11.37333333,-,-,-,34.12,0.1905972,21.6772554,1.12589413,2025-11-29,2025-11-29
