"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Carousel 1 // Mehr dazu",2025-11-18,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",13,1422,1917,3.16615385,-,-,-,41.16,0.67814293,21.47104851,1.34810127,2025-11-18,2025-11-18
"Carousel 1 // Mehr dazu",2025-11-23,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",2,2311,2414,16.185,-,-,-,32.37,0.08285004,13.4092792,1.04456945,2025-11-23,2025-11-23
"Carousel 1 // Mehr dazu",2025-11-22,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",6,1955,2050,4.90166667,-,-,-,29.41,0.29268293,14.34634146,1.04859335,2025-11-22,2025-11-22
"Carousel 1 // Mehr dazu",2025-11-21,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",6,1865,1999,4.88333333,-,-,-,29.3,0.30015008,14.65732866,1.07184987,2025-11-21,2025-11-21
"Carousel 1 // Mehr dazu",2025-11-24,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",4,2007,2059,7.31,-,-,-,29.24,0.19426906,14.20106848,1.02590932,2025-11-24,2025-11-24
"TH-Reel // Mehr dazu",2025-12-07,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",3,1845,1966,9.63666667,-,-,-,28.91,0.1525941,14.70498474,1.06558266,2025-12-07,2025-12-07
"TH-Reel // Mehr dazu",2025-12-08,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",6,2126,2149,4.64166667,-,-,-,27.85,0.27919963,12.95951605,1.01081844,2025-12-08,2025-12-08
"Carousel 1 // Mehr dazu",2025-11-26,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",1,1718,1779,27.63,-,-,-,27.63,0.05621135,15.5311973,1.0355064,2025-11-26,2025-11-26
"Carousel 1 // Mehr dazu",2025-11-25,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",1,1543,1643,26.53,-,-,-,26.53,0.06086427,16.14729154,1.06480881,2025-11-25,2025-11-25
"TH-Reel // Mehr dazu",2025-12-04,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",4,1147,1190,6.57,-,-,-,26.28,0.33613445,22.08403361,1.0374891,2025-12-04,2025-12-04
