"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Carousel 1 // Mehr dazu",2025-12-14,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",4,2254,2384,6.025,-,-,-,24.1,0.16778523,10.1090604,1.05767524,2025-12-14,2025-12-14
"Carousel 1 // Mehr dazu",2025-12-07,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",3,1768,1799,7.21666667,-,-,-,21.65,0.16675931,12.03446359,1.01753394,2025-12-07,2025-12-07
"Carousel 1 // Mehr dazu",2025-12-09,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",9,1772,1839,2.25888889,-,-,-,20.33,0.48939641,11.05492115,1.03781038,2025-12-09,2025-12-09
"Carousel 1 // Mehr dazu",2025-12-08,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",3,1679,1847,6.74,-,-,-,20.22,0.16242555,10.9474824,1.10005956,2025-12-08,2025-12-08
"Carousel 1 // Mehr dazu",2025-12-11,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",4,1815,1920,4.94,-,-,-,19.76,0.20833333,10.29166667,1.05785124,2025-12-11,2025-12-11
"Carousel 1 // Mehr dazu",2025-12-16,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",4,1847,1912,4.9025,-,-,-,19.61,0.20920502,10.25627615,1.0351922,2025-12-16,2025-12-16
"Carousel 1 // Mehr dazu",2025-12-15,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",5,2235,2344,3.908,-,-,-,19.54,0.21331058,8.33617747,1.04876957,2025-12-15,2025-12-15
"Carousel 1 // Mehr dazu",2025-12-06,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",1,1424,1475,18.91,-,-,-,18.91,0.06779661,12.82033898,1.03581461,2025-12-06,2025-12-06
"Carousel 1 // Mehr dazu",2025-12-13,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",5,1580,1667,3.768,-,-,-,18.84,0.29994001,11.30173965,1.05506329,2025-12-13,2025-12-13
"Carousel 1 // Mehr dazu",2025-12-10,not_delivering,ad,"IF // Hamburg (+ 19km) , DE, ENG // Feeds, Stories, Reels, In-Stream, Suche","7-day click or 1-day view","Leads (form)",1,1626,1680,18.6,-,-,-,18.6,0.05952381,11.07142857,1.03321033,2025-12-10,2025-12-10
