"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"Single Image 1 // Mehr dazu",2026-01-18,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",23,3569,4574,1.60347826,-,-,-,36.88,0.50284215,8.06296458,1.28159148,2026-01-18,2026-01-18
"Single Image 1 // Mehr dazu",2026-01-23,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",8,3406,3804,3.7475,-,-,-,29.98,0.21030494,7.88117771,1.11685261,2026-01-23,2026-01-23
"Single Image 1 // Mehr dazu",2026-01-24,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",7,2952,3232,4.20857143,-,-,-,29.46,0.21658416,9.11509901,1.09485095,2026-01-24,2026-01-24
"Single Image 1 // Mehr dazu",2026-01-19,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",12,3447,4140,2.31666667,-,-,-,27.8,0.28985507,6.71497585,1.20104439,2026-01-19,2026-01-19
"Single Image 1 // Mehr dazu",2026-01-22,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",3,3282,3849,9.22333333,-,-,-,27.67,0.07794232,7.18888023,1.17276051,2026-01-22,2026-01-22
"Single Image 1 // Mehr dazu",2026-01-21,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",6,2777,3041,4.59666667,-,-,-,27.58,0.19730352,9.06938507,1.09506662,2026-01-21,2026-01-21
"Single Image 1 // Mehr dazu",2026-01-20,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",5,3574,4035,5.27,-,-,-,26.35,0.12391574,6.53035936,1.12898713,2026-01-20,2026-01-20
"Single Image 1 // Mehr dazu",2026-01-25,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",4,2515,2698,5.345,-,-,-,21.38,0.14825797,7.92438844,1.07276342,2026-01-25,2026-01-25
"Single Image 1 // Mehr dazu",2026-01-17,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",5,1102,1443,3.336,-,-,-,16.68,0.34650035,11.55925156,1.30943739,2026-01-17,2026-01-17
"Single Image 2 // Mehr dazu",2026-01-17,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,456,568,6.86,-,-,-,6.86,0.17605634,12.07746479,1.24561404,2026-01-17,2026-01-17
"Carousel 1 // Mehr dazu",2026-01-17,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,357,419,2.455,-,-,-,4.91,0.47732697,11.71837709,1.17366947,2026-01-17,2026-01-17
"Carousel 1 // Mehr dazu",2026-01-18,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,227,266,,-,-,-,2.09,,7.85714286,1.17180617,2026-01-18,2026-01-18
"Single Image 2 // Mehr dazu",2026-01-18,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,87,102,,-,-,-,0.7,,6.8627451,1.17241379,2026-01-18,2026-01-18
"Carousel 1 // Mehr dazu",2026-01-19,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,47,53,0.39,-,-,-,0.39,1.88679245,7.35849057,1.12765957,2026-01-19,2026-01-19
"Single Image 2 // Mehr dazu",2026-01-21,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,28,37,,-,-,-,0.23,,6.21621622,1.32142857,2026-01-21,2026-01-21
"Single Image 2 // Mehr dazu",2026-01-23,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,27,29,,-,-,-,0.23,,7.93103448,1.07407407,2026-01-23,2026-01-23
"Carousel 1 // Mehr dazu",2026-01-22,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,27,27,,-,-,-,0.2,,7.40740741,1,2026-01-22,2026-01-22
"Single Image 2 // Mehr dazu",2026-01-19,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,19,23,0.12,-,-,-,0.12,4.34782609,5.2173913,1.21052632,2026-01-19,2026-01-19
"Carousel 1 // Mehr dazu",2026-01-20,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,12,12,,-,-,-,0.11,,9.16666667,1,2026-01-20,2026-01-20
"Single Image 2 // Mehr dazu",2026-01-20,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,7,7,,-,-,-,0.06,,8.57142857,1,2026-01-20,2026-01-20
"Carousel 1 // Mehr dazu",2026-01-24,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,4,4,,-,-,-,0.04,,10,1,2026-01-24,2026-01-24
"Single Image 2 // Mehr dazu",2026-01-25,not_delivering,ad,"VON POLL Berlin-Pankow // Bennyweg // Voroptimierte Leads // Adv + Anzeigengruppe","7-day click or 1-day view",,,6,7,,-,-,-,0.04,,5.71428571,1.16666667,2026-01-25,2026-01-25
