"Ad name",Day,"Delivery status","Delivery level","Ad set name","Attribution setting","Result type",Results,Reach,Impressions,"Cost per result","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (EUR)","Result rate","CPM (cost per 1,000 impressions)",Frequency,"Reporting starts","Reporting ends"
"TH-Reel 2 // Mehr dazu",2025-12-14,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,2333,2737,19.22,-,-,-,38.44,0.07307271,14.04457435,1.1731676,2025-12-14,2025-12-14
"TH-Reel 2 // Mehr dazu",2025-12-12,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,1967,2280,17.35,-,-,-,34.7,0.0877193,15.21929825,1.15912557,2025-12-12,2025-12-12
"TH-Reel 2 // Mehr dazu",2025-12-10,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,1634,2038,15.725,-,-,-,31.45,0.09813543,15.43179588,1.24724602,2025-12-10,2025-12-10
"TH-Reel 2 // Mehr dazu",2025-12-13,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,1714,1966,31.03,-,-,-,31.03,0.0508647,15.78331638,1.1470245,2025-12-13,2025-12-13
"TH-Reel 2 // Mehr dazu",2025-12-11,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,1855,2161,29.68,-,-,-,29.68,0.04627487,13.73438223,1.16495957,2025-12-11,2025-12-11
"Bild 1 // Mehr dazu",2026-01-04,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",3,5937,7145,9.53333333,-,-,-,28.6,0.0419874,4.00279916,1.20346977,2026-01-04,2026-01-04
"Bild 1 // Mehr dazu",2026-01-11,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,4084,4736,24.93,-,-,-,24.93,0.02111486,5.26393581,1.1596474,2026-01-11,2026-01-11
"Bild 1 // Mehr dazu",2026-01-08,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",3,3604,4096,8.24666667,-,-,-,24.74,0.07324219,6.04003906,1.13651498,2026-01-08,2026-01-08
"Carousel 1 // Mehr dazu",2025-12-15,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_2 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,1122,1480,11.72,-,-,-,23.44,0.13513514,15.83783784,1.31907308,2025-12-15,2025-12-15
"Bild 2 // Mehr dazu",2025-12-30,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",3,2158,2381,7.75333333,-,-,-,23.26,0.12599748,9.76900462,1.10333642,2025-12-30,2025-12-30
"Bild 1 // Mehr dazu",2026-01-07,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",1,3808,4522,23.23,-,-,-,23.23,0.02211411,5.13710747,1.1875,2026-01-07,2026-01-07
"Bild 2 // Mehr dazu",2026-01-01,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",3,3156,3578,7.74,-,-,-,23.22,0.08384572,6.48965903,1.13371356,2026-01-01,2026-01-01
"Bild 1 // Mehr dazu",2026-01-13,not_delivering,ad,"VON POLL Berlin-Nikolassee // Spanische Allee // Voroptimierte Leads // Adv + Kampagne_3 Anzeigengruppe","7-day click or 1-day view","Leads (form)",2,3455,3913,11.495,-,-,-,22.99,0.05111168,5.8752875,1.13256151,2026-01-13,2026-01-13
